,Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
0,109,0533352170,060,RL,69.05520046484602,13517.0,Pave,2,Lvl,1,CulDSac,1,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,2,3,CBlock,3,3,4,1,533.0,6,0.0,192.0,725.0,GasA,1,Y,1,725.0,754.0,0.0,1479.0,0.0,0.0,2.0,1.0,3.0,1.0,2,6.0,8,0.0,6,Attchd,1976.0,2,2.0,475.0,3,3,1,0.0,44.0,0.0,0.0,0.0,0.0,5,NA,0.0,3,2010,WD ,130500.0
1,544,0531379050,060,RL,43.0,11492.0,Pave,2,Lvl,1,CulDSac,1,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,2,3,PConc,2,3,4,1,637.0,6,0.0,276.0,913.0,GasA,1,Y,1,913.0,1209.0,0.0,2122.0,1.0,0.0,2.0,1.0,4.0,1.0,2,8.0,8,1.0,3,Attchd,1997.0,2,2.0,559.0,3,3,1,0.0,74.0,0.0,0.0,0.0,0.0,5,NA,0.0,4,2009,WD ,220000.0
2,153,0535304180,020,RL,68.0,7922.0,Pave,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,3,3,4,1,731.0,6,0.0,326.0,1057.0,GasA,3,Y,1,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,3.0,1.0,2,5.0,8,0.0,6,Detchd,1953.0,3,1.0,246.0,3,3,1,0.0,52.0,0.0,0.0,0.0,0.0,5,NA,0.0,1,2010,WD ,109000.0
3,318,0916386060,060,RL,73.0,9802.0,Pave,1,Lvl,1,Inside,1,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,2,3,4,6,0.0,6,0.0,384.0,384.0,GasA,2,Y,1,744.0,700.0,0.0,1444.0,0.0,0.0,2.0,1.0,3.0,1.0,3,7.0,8,0.0,6,BuiltIn,2007.0,1,2.0,400.0,3,3,1,100.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,4,2010,WD ,174000.0
4,255,0906425045,050,RL,82.0,14235.0,Pave,2,Lvl,1,Inside,1,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,4,2,4,6,0.0,6,0.0,676.0,676.0,GasA,3,Y,1,831.0,614.0,0.0,1445.0,0.0,0.0,2.0,0.0,3.0,1.0,3,6.0,8,0.0,6,Detchd,1957.0,3,2.0,484.0,3,3,3,0.0,59.0,0.0,0.0,0.0,0.0,5,NA,0.0,3,2010,WD ,138500.0
5,138,0535126040,020,RL,137.0,16492.0,Pave,2,Lvl,1,Corner,1,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,2,3,CBlock,3,3,4,2,247.0,4,713.0,557.0,1517.0,GasA,1,Y,1,1888.0,0.0,0.0,1888.0,0.0,0.0,2.0,1.0,2.0,1.0,2,6.0,5,1.0,2,Attchd,1966.0,1,2.0,578.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,6,2010,WD ,190000.0
6,2827,0908186070,180,RM,35.0,3675.0,Pave,1,Lvl,1,Inside,1,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,2,3,1,1,547.0,6,0.0,0.0,547.0,GasA,2,Y,1,1072.0,0.0,0.0,1072.0,1.0,0.0,2.0,0.0,2.0,1.0,3,5.0,8,0.0,6,Basment,2005.0,1,2.0,525.0,3,3,1,0.0,44.0,0.0,0.0,0.0,0.0,5,NA,0.0,6,2006,New,140000.0
7,145,0535154050,020,RL,69.05520046484602,12160.0,Pave,2,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,4,4,1000.0,6,0.0,188.0,1188.0,GasA,4,Y,1,1188.0,0.0,0.0,1188.0,1.0,0.0,1.0,0.0,3.0,1.0,3,6.0,8,0.0,6,Attchd,1959.0,2,2.0,531.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,5,2010,COD,142000.0
8,1942,0535353130,020,RL,69.05520046484602,15783.0,Pave,1,Lvl,1,Inside,1,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,4,4,292.0,6,0.0,632.0,924.0,GasA,3,Y,1,924.0,0.0,0.0,924.0,0.0,0.0,1.0,0.0,2.0,1.0,3,6.0,8,0.0,6,Detchd,1952.0,3,1.0,420.0,3,3,1,0.0,324.0,0.0,0.0,0.0,0.0,5,Shed,400.0,6,2007,WD ,112500.0
9,1956,0535426130,060,RL,70.0,11606.0,Pave,2,HLS,1,Inside,3,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,2,3,2,4,650.0,6,0.0,390.0,1040.0,GasA,3,Y,1,1040.0,1040.0,0.0,2080.0,0.0,1.0,1.0,2.0,5.0,1.0,4,9.0,8,2.0,3,Attchd,1969.0,3,2.0,504.0,3,3,1,335.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,9,2007,WD ,135000.0
